,stage,bottom,mid,top,dur
1,1,0,0,0,1
2,2,1,0.5,0,1
3,3,2,1.5,1,1
4,4,3,2.5,2,1
5,5,4,3.5,3,1
6,6,5,4.5,4,1
7,7,6,5.5,5,1
8,8,7,6.5,6,1
9,9,8,7.5,7,1
10,10,9,8.5,8,1
11,11,10,9.5,9,1
12,12,11,10.5,10,1
13,13,12,11.5,11,1
14,14,13,12.5,12,1
15,15,14,13.5,13,1
16,16,15,14.5,14,1
17,17,16,15.5,15,1
18,18,17,16.5,16,1
19,19,18,17.5,17,1
20,20,19,18.5,18,1
21,21,20,19.5,19,1
22,22,21,20.5,20,1
23,23,22,21.5,21,1
24,24,23,22.5,22,1
25,25,24,23.5,23,1
26,26,25,24.5,24,1
27,27,26,25.5,25,1
28,28,27,26.5,26,1
29,29,28,27.5,27,1
30,30,29,28.5,28,1
31,31,30,29.5,29,1
32,32,31,30.5,30,1
33,33,32,31.5,31,1
34,34,33,32.5,32,1
35,35,34,33.5,33,1
36,36,35,34.5,34,1
37,37,36,35.5,35,1
38,38,37,36.5,36,1
39,39,38,37.5,37,1
40,40,39,38.5,38,1
41,41,40,39.5,39,1
42,42,41,40.5,40,1
43,43,42,41.5,41,1
44,44,43,42.5,42,1
45,45,44,43.5,43,1
46,46,45,44.5,44,1
47,47,46,45.5,45,1
48,48,47,46.5,46,1
49,49,48,47.5,47,1
50,50,49,48.5,48,1
51,51,50,49.5,49,1
52,52,51,50.5,50,1
53,53,52,51.5,51,1
54,54,53,52.5,52,1
55,55,54,53.5,53,1
56,56,55,54.5,54,1
57,57,56,55.5,55,1
58,58,57,56.5,56,1
59,59,58,57.5,57,1
60,60,59,58.5,58,1
61,61,60,59.5,59,1
62,62,61,60.5,60,1
63,63,62,61.5,61,1
64,64,63,62.5,62,1
65,65,64,63.5,63,1
66,66,65,64.5,64,1
67,67,66,65.5,65,1
